__label__5	怎么 连接 进去 京东 钱包
__label__2	拼团 成功 的 怎么 退款
__label__6	如何 添加 新 品牌 的 类目
__label__6	进口 品牌 需要 质检 报告 吗
__label__5	请问 我 的 京东 钱包     我 没有 使用   支出 的 钱 是 怎么 算 出来 的
__label__0	如何 取消 当日 发
__label__5	商家 结算 的 款 到 哪
__label__9	我 创建 的 拼购 怎么 不 展示
__label__6	在 哪里 添加 【 品牌 】  
__label__6	产品 清单 怎么 填写
__label__5	  怎么 核对 账单 ？  
__label__4	如何 查询 历史 活动 申报 记录
__label__2	拼购 订单 ， 调度 时间 是 多久 的
__label__5	钱包 到 账 的 钱 ， 提 不 出来 ， 显示 什么 欠款
__label__5	这个 结算 可以 用 什么 来 结算
__label__4	我 参加   的 活动 在 哪里 查
__label__5	客户 下单 之后 ， 货款 什么 时候 可以 到 账
__label__4	怎么 设置 优惠活动 的 限制
__label__5	京东 钱包 提现 ， 提示 您 的 账户 余额 暂时 不能 提现 ， 因 您 有待 付款 尚未 结清 什么 意思 呢
__label__6	商品 品牌 投诉 在 哪
__label__9	拼购 ID 从 哪 看
__label__6	店铺 添加 品牌 怎么 做
__label__2	拼购 成功 只有 一个 订单 吗
__label__0	延时 发货 报备 时间段 怎么 填
__label__6	  服务 类 商标注册 证 有效期 是 指 什么 ？  
__label__5	京东 不能 收款
__label__0	订单 延迟 发货 会 怎么样 ？
__label__6	品牌 资质 审核 时效 多久
__label__5	订单 已 完成 ， 多久 可以 收款
__label__6	我 想 我 的 品牌 什么 时候 给 我 审核 一下 呢 ？ 都 3 天 了
__label__0	延迟 发货 报备 可以 提前 多久 设置
__label__0	发货 超时 咋办
__label__0	春节 停止 发货 的 设置 从 哪里 设置 呢 亲
__label__6	质检 报告 在 那 看
__label__5	公司 余额 怎么 查询
__label__0	怎么 上传 延迟 发货 的 凭证
__label__6	商标注册 证 没有 办理 完 ， 可否 提供 商品 注册 申请书 ？
__label__8	你好 ， 客户 怎么 申请 直赔
__label__3	品牌 聚效 推广 落地 页 地址 是 填写 哪个 的
__label__5	订单 结算 是 怎么 结算 的
__label__4	团长 免单 活动 多久 自动 关闭
__label__4	618 全民 免单 项目 怎么 玩 ？
__label__1	京东 众筹 入口 是 在 哪 呢
__label__6	旗舰店 可以 添加 多个 自有 品牌 吗
__label__8	京东 商家 直赔 ， 赔付 金额 可以 超过 客户 下单 金额 吗
__label__9	怎么 参加 拼团  
__label__5	现在 后台 运费 结算 为什么 不能 导出 明细 了 呢
__label__5	  金融 日 账单 是 什么  
__label__0	这个 订单 客人 同意 一周 以后 发货 报备 延期 发货
__label__5	月 账单 在 哪里 导 的
__label__4	如何 参加 618 活动
__label__6	品牌 活动 ID 在 哪里 查看
__label__5	客户 确认 收货 在 哪 结算
__label__6	品牌 授权 资质 一定 要 公章 吗
__label__5	京东 的 结算 单 里面 的 代收 配送费 是 什么 东西
__label__4	已 报名 的 活动 在 哪里 看
__label__5	买家 确认 收货 后 的 订单 金额 在 哪里 可以 查看 到
__label__5	京东 钱包 余额 可以 为 0 吗
__label__5	返利 单在 结算 是 直接 返利 但 京东 账户 余额 的 吗
__label__5	京东 钱包 的 账户 被 冻结 怎么办
__label__5	京东 快递 的 结算 单 如何 查
__label__5	绑定 京东 钱包
__label__9	怎么 设置 拼 购价 不能 修改
__label__5	货款 什么 时候 结算
__label__4	我们 等 着 报名 三免 一 ， 活动 详情 是 什么
__label__5	月 账单   下载 不 下来
__label__0	付款 多久 算 延迟 发货
__label__5	那 客户 钱包 里 约 的 钱 到时候 怎么 提出 来 呢
__label__6	店铺 商品 全部 更换 品牌
__label__0	节假日 发货 规则 在 哪里 设置
__label__6	可以 更新 品牌 LOGO 吗
__label__9	京东 怎么 设置 拼购
__label__5	返利 是 按 费用 发生 时间 返 的 吗
__label__4	9 频道 活动 9 元九在 哪里 报名
__label__8	直赔 是 赔到 客户 哪里
__label__5	我想查 一下 18.5 - 19.4 的 收入 从 哪里 查
__label__5	拼购 店 结算 方式 是 怎样 的
__label__5	京东 钱包 登录 网址 在 哪
__label__6	品牌 申请 过程 中 ， 品牌 类型 输入 错误 了 怎么 更改
__label__6	品牌 审核 时 长
__label__8	理赔 页面 在 哪 看
__label__6	  提供 资质 与 申请 品牌 名称 不符       是 指 什么 不符
__label__5	要 去 哪里找 我 的 钱包
__label__3	京选 里面 的 默认 购买 人群 没有 覆盖 是 什么 原因
__label__5	未 收款 订单 怎么 查
__label__5	推广 费 多余 的 怎么 土灰
__label__9	请问 在 哪里 可以 查到 拼购 ID
__label__6	商标 是 个人 ， 授权 盖 私章 吗
__label__6	品牌 授权 模板 在 哪里 有
__label__5	结算 单是 怎么 计算 的 呢
__label__9	京东 拼购 的 营销 推广 是 怎么样 来 做 的
__label__5	请问 ， 京东 如何 申请 提现 ？
__label__0	延迟 报备 在 哪 哦
__label__5	服务费 是 什么 ？
__label__0	京东 的 发货 时效 是 多长 ？
__label__0	订单 延迟 多久 算 延迟 发货
__label__9	为什么 有些 拼购 不能取消 呢
__label__6	品牌 纵横 在 哪里 申请
__label__9	如何 暂停 拼购
__label__0	延迟 发货 会 有 什么 问题
__label__5	SOP 结账 怎么 结算 的 呀
__label__5	我 的 资金 账户 有 倒挂 是 什么 情况
__label__5	你好 ， 为什么 有些 京东 订单 是 未 结账 的 状态 呢 ？
__label__3	我 上传 京选 店铺 的 图片 和 落地 页 都 没有 首发 的 字眼
__label__2	拼购 订单 0 元 结算 金额 是 怎么回事
__label__0	发货 时效 是 多长 ？
__label__5	京东 钱包 如何 关闭
__label__6	发货 商品 和 实际 品牌 不 相符 会扣 多少 分
__label__5	您好     结算 界面 怎么 没 了 啊
__label__0	怎么 设置 配送 时间
__label__6	如何 修改 已经 通过 审核 的 品牌 ？
__label__6	不再 品牌 库   如何 新增
__label__3	品聚 的 资源 位 怎么 没有 市场 平均 参考价
__label__8	怎么 查价 保 时间
__label__2	如何 查询 拼购 订单
__label__9	拼购 店铺 如何 查看 拼购 ID
__label__8	商家 直赔   是 赔付 到 哪里
__label__5	京东 钱包 主 账号 的 钱子 帐号 可以 用 吗  
__label__6	申请 的 品牌 如何 退出
__label__5	京东 的 钱包 人工 电话 是 多少 啊
__label__0	发货 失效 在 哪里 设置
__label__6	个人 品牌 怎么 授权
__label__8	麻烦 创建 一下 直赔
__label__5	京东 钱包 改版 了 ， 结算 提款 在 哪里 ？  
__label__5	为什么 往期 账单 没有 ？
__label__5	对 账单 金额 怎么 看
__label__6	产品 清单 再 哪 上传
__label__5	不 提交 的话 我们 怎么 索回 快递费 等 相关 费用 呢
__label__8	京东 15 天价 保 开通
__label__6	专营店 销售 授权书 怎么 设置
__label__0	延迟 发货 如何 处罚
__label__6	  农药 的 品牌 授权   需要 经营 许可 正 吗
__label__6	在 哪里 看 店铺 品牌 层级
__label__0	发货 时效 是 多久
__label__4	三超 活动 是 什么
__label__9	京东 拼购 资源 位 如何 获取
__label__9	拼购 点 可以 设置 不 参加 拼购 的 商品 吗
__label__5	为什么 我 的 企业 京东 钱包 余额 是 零
__label__8	顾客 怎么 申请 赔付
__label__4	报名 参 限时 活动 ， SKU 需要 填写 吗 ？
__label__6	hello ， 品牌 资质 中 ， 品牌 英文名称 必须 填 吗 ？
__label__0	开通 当日 发 服务 ， 如果 没有 当日 发货 ， 会 有 什么 处罚 呢
__label__6	宠物 生活 的 京东 旗舰店 的 旗舰店 授权书 模板 发 我 一份 吧
__label__5	我 的 结算 单在 哪里 查询
__label__5	从 京东 商家 后台 如何 到 京东 钱包 企业 版
__label__5	结算 明细 从 哪里 查看
__label__9	拼购 店 和 旗舰店 的 权重 一样 吗
__label__6	怎么 申请 其他 品牌
__label__9	怎么 创建 不了 拼购 店
__label__5	京东 钱包 从 哪个 入口 可以 进去
__label__6	更改 品牌
__label__6	品牌 英文名 错误 怎么 处理
__label__6	您好   商标 时间 到 了   现在 更新   一直 上传 不了 是 怎么回事 呢  
__label__5	如何 修改 银行 账户 开户名
__label__0	京东 多久 内点 发货 不算 延迟 发货
__label__6	品牌 资质 信息 在 哪里
__label__5	T + 1 开通 怎么 收费
__label__4	我 活动 要 上传 spu 怎么 上传 不了 呢
__label__5	导出来 的 结算 单不对 跟 谁 联系
__label__6	你好 ， 想 下载 旗舰店 授权书 模板 ， 可以 麻煩 你 傳 一份 過來 嗎 ？
__label__5	t + 1 的 结算 是 怎么 申请 的
__label__5	我 在 哪里 能 看到 我 是不是 月结
__label__9	  京东 拼购 怎么 操作
__label__6	品牌 申请 问题 怎么 到 现在 还 没 审好
__label__6	申请 品牌 点 不了 怎么 操作
__label__6	品牌 打错字 怎么 更改
__label__8	未 发货 的 订单 客户 申请 理赔
__label__4	3 免 1 规则
__label__6	品牌 授权 多久
__label__5	对 账单 表格 导出
__label__5	如何 进入 商户 中心
__label__5	京东 企业 钱包 怎么 进入
__label__6	我们 的 品牌 资质 审核 什么 时候 能 审核 好 呢
__label__6	只有 满个 月 的 商标 受理 书 可以 授权 吗 ？
__label__5	怎么 提 货款 取出 来
__label__6	品牌 添加 、  
__label__6	品牌 授权书 提交 需要 多久 审核
__label__5	请问 订单 成交 后 钱 到 哪里
__label__6	品牌 资质 通过 ， 如何 上架 商品
__label__5	如何 提取 货款
__label__5	完成 订单 以后 钱 去 哪里 了
__label__1	我要 注销 小金库
__label__9	拼购 活动 在 哪 创建
__label__6	如何 下架 品牌
__label__0	新增 延时 发货 报备
__label__8	  运费 赔付 单 怎么 申请 啊  
__label__5	月 账单 什么 时候 可以 下载
__label__5	京东 平台 的 纳税人 识别 号 在 哪里 查看
__label__5	结算 管理 的 日月 对 账单 改版 后 去 哪里 查找 ？
__label__4	为啥 我 设置 的 满减 自动 驳回
__label__6	旗舰店 怎么 添加 品牌
__label__2	拼购 店 怎么 开发票
__label__6	店辅 的 品牌 等级 在 哪 看
__label__4	活动 白名单 是 什么
__label__5	京东 钱包 修改 登陆密码 怎么弄
__label__4	参加 活动 的 费用 是 多少 呢
__label__0	客户 说 出差 报备 延迟 发货
__label__5	待 收款 哪里 查看
__label__0	已经 在 规定 时间 内 出库 ， 为什么 还是 预警 呢
__label__5	客户 付款 都 钱 在 哪里
__label__0	我 想 咨询 一下 商家 发货 时效 问题 ， 多久 不 发货 算 超时
__label__5	FCS 是 哪种 结算 模式 a   ?  
__label__1	小金库 里面 的 钱 提现 ， 需要 多长时间 到 账
__label__5	订单 是 怎么 给 我们 结算 的 呢
__label__6	品牌 库 怎么 修改
__label__0	超过 多久 未 发货 会 扣分
__label__0	延迟 发货 报备 是 什么
__label__6	京东 专营店 添加 品牌
__label__1	客户 小金库 怎么 申请 开通
__label__5	在 结算 管理 那里 怎么 没有 对 账单 查询 了 ？  
__label__0	商家 未 按 约定 时间 发货 ， 怎么 赔偿 呀
__label__5	提现 能 到 个人账户 嘛 ？
__label__0	交易 达成 后 商家 需在 多长时间 上 传单 的 快递 公司 揽件 跟踪 信
__label__2	拼购 订单 超过 24 小时 没 发货 算 超时
__label__6	如何 投诉 品牌 审核 人员
__label__9	我要 删去 拼 团购 的 活动
__label__5	    亲 ， 店铺 和 京东 钱包 怎么 绑定 了 ？  
__label__0	延迟 发货 赔付 30% 吗
__label__6	京东 如何 新增 品牌
__label__5	对公 账户 是 民生银行 的 ， 和 以后 提现 京东 余额 到 对公 张虎 ， 有 影响 吗
__label__9	在 哪 创建 拼购
__label__4	行业 活动 报名 如何 审核
__label__6	有 商标注册 证 但是 转让 过有 转让 声明 能 授权 我 开店 吗
__label__5	你好   SOP 商家 如何 提现 ？
__label__5	买家 确认 收货 好评 后 ， 钱 多久 到 账
__label__5	账单 查询 没 反应
__label__0	紧急 报备 审核 需要 多久 生效
__label__5	待 回款 金额 哪里 查看
__label__1	有 客户 反映 京东 商家 小金库 不 可以 抵用 ， 是 什么 情况
__label__5	资金 账户 在 哪里 看
__label__4	平台 活动 展示 区域 在 哪里
__label__5	T + 1 的 今天 操作 明天 就 可以 看到 吗
__label__9	如何 设计 商品 拼团
__label__0	618 发货 规定
__label__6	产品 授权 要些 什么 资料
__label__6	  经营 品牌   中英文 首字母 怎么 填写
__label__5	保价 费 结算 是 结算 到 哪里
__label__0	618 活动 的 发货 时效 还是 跟 以前 一样 的 是 吗
__label__5	京东 退出 后   怎么 提现
__label__8	除了 直 赔单 可以 售 后退 差价 吗
__label__8	赔付 标准
__label__5	  对 账单 金额 怎么 看  
__label__0	延时 发货 处罚 规则
__label__9	如何 查看 拼团 人员
__label__5	京东 钱包 怎么 把 钱 提到 银行卡
__label__5	如何 完成 钱包 缴费
__label__0	如何 报备 延长 发货 的 订单
__label__4	活动 设置 sku 批量 设置 不能 上传 表格
__label__0	延迟 发货 报备 需要 提供 什么 ？
__label__4	参加 活动 那个 SPU 要 怎么 填 ？
__label__5	现在 收款 提 现在 哪里
__label__0	订单 已经 发货 ， 但是 客户 要求 延迟 两天 发货 ， 商家 应 如何 操作
__label__5	费用 在 哪里 导出
__label__0	商家 延迟 发货 怎么办
__label__5	账户 里 的 钱 怎么 转 到 公司 账户 里 ？
__label__5	您好       京东 钱包   那个 收款 金额   是 怎么 算 的
__label__0	48 小时 揽件 及时 率 是 怎么 算 的
__label__1	企业 金库 是 什么 呢
__label__4	在 哪里 看 之前 创建 的 活动
__label__9	怎么 看 全部 的 拼团 活动
__label__5	您好 。 订单 导出 ， 核对 金额 是 看 结算 金额   还是 应付 金额 ？
__label__9	拼购 ID 在 哪里 设置
__label__6	因 品牌 审核 未 通过 而 下架 了 店 内 所有 产品 。 品牌 资质 在 哪里 填写 啊 ？
__label__5	这个 未结算 在 哪 看 呢 ？  
__label__5	月 账单 里 的 费用 支出   商家 应收 什么 意思  
__label__5	京东 钱包 如何 修改
__label__5	货款 回款 时间
__label__5	对公 账户 的 一般 户 都 是 可以 用于 结算 的 吧 不 一定 要 基本 户 吧
__label__6	  产品 清单 是 上传 在 什么 位置 ？  
__label__6	品牌 到期 怎么办
__label__5	我 京东 钱包 刚刚 找回 密码 发 我 邮箱 了 为啥 我 还是 登 不 上去 呢
__label__6	品牌 资质 在 哪里 审核
__label__5	结算 的 代收 配送费 指 的 是 什么
__label__5	货款 在 哪里 查看
__label__5	企业 钱包 账号 在 哪 查看
__label__9	拼购 新 商家 有没有 活动 报名 入口
__label__0	延迟 发货 提醒 怎么 关闭
__label__5	结算 的 时候 需要 银行账号 验证 ， 在 哪里 找到
__label__6	旗舰店 授权书 下载
__label__6	产品 清单 怎么 上传 ？
__label__6	京东 品牌 授权 模板 有 吗
__label__5	T + 1 在 哪 开通 呢
__label__5	  订单 结算 金额 为 0 是 什么 原因  
__label__4	营销 活动 审核
__label__1	我 的 小金库 里面 的 钱 如何 花
__label__5	如果 发生 锁定 或者 申请 退款 的 单子
__label__8	直赔 是 返回 买家 的 余额 吗
__label__2	拼购 的 怎么 不能 生成 订单 了
__label__5	为什么 我 在 后台 结算 的 时候 看不到 运费 结算 呢
__label__5	怎么 才能 知道 订单 的 货款 有没有 到 账
__label__5	店铺 开通 之后 以后 收入 的 钱 怎么 提现 呢
__label__0	审核 延时 发货 是 谁 审核 的 ？
__label__5	在 那里 查 货款 ？  
__label__5	当天 结款 在 哪里 操作
__label__5	          亲 “ 结算 单 166998435 妥投 销货 清单 明细 “ ， 为什么 没有 数量 ？     哪里 能 找到
__label__6	拼购   品牌 授权书
__label__5	月 账单 怎么 导出
__label__6	品牌 LOGO 在 哪里 设置
__label__6	怎么 更新 授权
__label__9	怎么 报名 今日 必拼
__label__6	品牌 审核 标准
__label__5	京东 钱包 的 登入 密码 忘记 了
__label__0	以上 订单 报备 延迟 发货 哈 制定 刻字 ， 与 客户 协商 好 的
__label__5	钱包 刚刚 充值 的 钱 怎么 没有 到 账
__label__5	代付 功能 如何 提现
__label__1	小金库 的 钱 转出 需要 多久 呢
__label__4	满减 为什么 被 驳回
__label__5	返利 单是 什么 意思
__label__0	我 那个 廷时 发货 怎么 没 人 审核
__label__6	京东 专营店 授权书
__label__5	请问 京东 钱包 的 钱 怎么 提现 到 个人账户 ？
__label__4	618 全球 年 中 购物 节 还 能 报名 吗
__label__5	京东 钱包 提现 申请 成功 后 ， 资金 多久 可以 到 账
__label__0	延迟 发货 提醒 是 什么 意思
__label__5	顾客 用 余额 付款 ， 商家 能 收到 款 吗
__label__5	订单 对 账单 在 哪
__label__5	提 现时 开户银行 没有 选择
__label__4	  99981744483   这个 订单 没有 满足 满减 条件 为什么 也 可以 参加 满减 呢 ？
__label__5	京东 返利 设置 从 那里 看
__label__6	品牌 等级 在 哪儿 查看  
__label__5	结算 的 账户 可以 是 个人账户 吗
__label__2	拼购 订单 为何 会 取消
__label__6	专卖店 能够 多 品牌 经营 吗
__label__0	延迟 发货 订单 处罚
__label__0	Promise 什么 时候 生效
__label__5	怎么 查询 运费 结算 明细
__label__5	  余额 怎么 提现  
__label__6	品牌 logo 在 那 修改
__label__4	官方 报名 怎么 全店 参加
__label__6	品牌 信息 怎么 更新
__label__4	怎么 创建活动
__label__6	我 自己 申请 品牌 ， 需要 什么 东西 ？
__label__0	买家 要求 延迟 发货 怎么 处理
__label__4	如何 下载 活动 素材
__label__2	客户 拼团 订单 怎么 取消
__label__5	后台 在 哪里 看 余额
__label__4	怎么 知道 我 店铺 的 活动
__label__6	  旗舰店 授权书 需要 具有 排 他 模版  
__label__9	京东 拼购 创建 后 可以 修改 吗
__label__5	麻烦 一下 能 不能 帮 我查 一下 我 京东 钱包 的 用户名
__label__4	活动 上报 失败 怎么 处理
__label__5	体现 如何 操作
__label__5	在 钱包 里面 看不到 货款 ， 是 什么 原因 呢
__label__5	我 京东 钱包 的 账号密码 忘记 了
__label__5	京东 账户 余额 怎么 提现 到 私人 账户 呢
__label__9	拼购 价格 多久 可以 更改
__label__6	品牌 管理 授权 审核 为何 没 通过
__label__6	报关 清单 在 哪 上传
__label__0	商品 没货要 推迟 两天 发货 ， 我 听说 朋友 说 联系 京东 客服 可以 报备 是 吗
__label__0	在售 商品 中 怎么 设置 发货 时间
__label__4	京东 平台 活动 期间 对 发货 有 要求 吗
__label__6	为什么 我们 是 二级 授权 ， 但 品牌 申请 一直 不 通过
__label__9	创建 的 拼购 活动 ， 活动 开始 后 可以 取消 删除 吗
__label__0	时效 模板 在 哪里 可以 删除
__label__9	拼购 促销 erp 填 什么
__label__3	品牌 聚效 可以 定向 其他 店铺 么
__label__5	T + 1 结算 不了 ， 怎么办
__label__5	对 账单 在 哪 ？
__label__5	京东 账户 的 余额 可以 提现 么
__label__5	T + 1 结算 ， 查看 明细 如何 进不去 了
__label__6	销售 授权书 模板
__label__5	未结算 单据 在 哪里 ？
__label__0	我 的 报备 放假 延迟 发货 的 审核 好了没
__label__4	店铺 满减 在 哪里 设置
__label__5	fcs 商家 确认 结算 单 之后 业务 审批 是 谁 审批 了  
__label__5	  结算 单   SOP   技术 服务费 是 什么 意思
__label__0	Promise 揽件 计算 方式
__label__5	  用户 自提   多久 可以 到 账
__label__6	产品 清单 材质 填   什么 ？
__label__1	小金库 的 钱 怎么 转 不 出来 呢
__label__5	结算 单有 异议 问 谁
__label__0	境内 发货 后 48 小时 没有 物流 信息 会 怎么样
__label__6	去 哪 申请 品牌
__label__5	你好 我 想 请问 下 商品 入仓 货款 结算 是 什么 流程
__label__5	付款 的 时候 显示 倒挂 是 什么 意思 那
__label__8	京东 如何 补 差价
__label__1	什么 是 企业 金库 普通 转入
__label__5	收款 管理 没有 权限 是 什么 意思 呢
__label__0	延迟 发货 赔付 后 订单 会 关闭 吗 ？
__label__5	请问 如何 提现 呢
__label__4	报名 的 活动 展示 在 哪
__label__0	客户 要求 延迟 发货 怎么办
__label__5	其他 费项 是 什么
__label__0	我 想 问 一下 延迟 发货 报备 在 哪里 设置
__label__5	收到 的 货款 怎么 提现 到 账户
__label__0	顾客 下单 后 商家 应当 在 多久 内 发货
__label__4	京东 报名 活动 要 收费 吗
__label__3	品牌 聚效 和 品牌 展位 有 什么 不同
__label__0	延迟 发货 订单 无法 报备
__label__5	去 哪里 看 账户 余额
__label__5	京东 钱包 的 信息 可以 更改 吗
__label__5	月 账单 导出来 没有 东西 是 什么 原因
__label__0	在 客户 下单 后 ， 多长时间 内要 发货
__label__6	上传 资质 怎么 上传 中国 有机 产品认证 书
__label__2	怎么 查看 拼购 订单
__label__1	顾客 要求 把 小金库 的 钱 转到 京东 余额 ， 应该 怎么弄
__label__8	退货 页面 客户 填写 的 邮费 会 自动 赔付 给 他 吗 ？
__label__5	对账 流水 去 哪里 查
__label__5	运费 结算 时 出现异常 怎么 处理 ？
__label__5	结算 的 账单 导不 出来 ， 该 怎么 处理 呢
__label__0	promise 承诺 时效 服务 怎么 开通
__label__0	发货 时效 超时 了 会 怎么 处理
__label__5	商家 青龙 运费 结算 确认 怎么 找 不到 了
__label__6	自已 店铺 如何 添加 品牌 ？
__label__4	行业 活动 模板 无法 打开
__label__4	报完 活动 之后   怎样 把 SKU 导出来
__label__1	京东 小金库 可以 直接 拿来 使用 吗
__label__5	在 商家 后台 代收款 在 哪
__label__6	品牌 到期 了   多久 能 重新 入驻
__label__5	结算 T1 要查 一个月 的 的 数据 只是 本月 应 结算 的 金额 吗
__label__1	小金库 的 钱 可以 申请 到 余额 里 吗
__label__6	品牌 可以 更换 吗
__label__5	京东 平台 还有 多少 钱 在 哪里 可以 看到
__label__5	待 收款 入口
__label__0	店铺 揽件 率 在 哪 看 ？
__label__6	公司 自由 品牌 需要 开 授权书 吗
__label__2	未开团 的 订单 能够 修改 手机号码
__label__2	京东 拼购 的 订单 为什么 不 显示
__label__5	运费 结算 的 时候 会 扣点 吗
__label__1	企业 金库 提现 的 款 ， 2 天 了 都 没到 账 ， 搞 什么
__label__4	  商家 在 参加 京东 开放平台 的 促销 活动 前 可 小幅度 提高 商品价格 吗 ?
__label__1	没有 开通 小金库
__label__0	发货 时效 是 付款 开始 还是 下单 开始 ？
__label__5	  您好 ， 这个 结算 时间 是 怎么 计算 的 ？    
__label__2	拼购 订单 怎么 查
__label__5	青龙 平台 我 的 结算 单 什么 时间 出来
__label__5	怎么 查未 到 账 余额
__label__0	后台 发货 延时 报备 为什么 不能 确定
__label__0	定制 商品 怎么 延迟 发货
__label__4	店铺 满减 设置 了 之后 ， 为什么 没有 生效 呢
__label__5	fcs 模式 的 结算 单 什么 时候 出
__label__5	为什么 我 没有 本期 结算 单
__label__0	延迟 发货 属于 哪 种 违规行为
__label__6	品牌 驳回 了 怎么办
__label__5	我们 还 没 开通 T + 1 ， 需要 怎么 操作 呢
__label__5	京东 拼购 店 货款 一般 结算 周期 是 多长时间
__label__4	报 京东 活动 的 网址 在 哪里
__label__2	拼购 价格 是 多少 才 对
__label__8	优鲜 赔   赔付 流程
__label__0	配送 时效 怎样 关闭
__label__4	京东 2019 奶爸 盛典   活动 日期 是 ？
__label__5	一店 多模 结算 方式 是 什么
__label__0	延迟 发货 提醒 按钮 有 什么 作用
__label__6	商品 品牌 资质 更新 后 商品 如何 上架  
__label__5	怎么 查看 自己 是否 开通 了 t + 1
__label__0	麻烦 问 一下 在 哪里 可以 延迟 发货
__label__1	什么 是 金库
__label__0	48 小时 揽收 及时 率 为什么 是 0
__label__5	我们 没 开通 钱包 前往 期 的 货款 在 哪里 查看
__label__0	怎样 延迟 发货
__label__5	京东 拼购 店铺 多久 结算 一次
__label__5	对 账单 为什么 不 显示
__label__4	为什么 官方 活动 报名 入口 ， 一些 活动 没有 显示
__label__1	如何 把 小金库 里面 的 钱 取出 来
__label__8	商家 直赔 什么 时候 可以 操作 ？
__label__9	sop 店铺 怎么 参加 拼购
__label__8	赔付 金额 大于 应 退 金额 怎么办
__label__5	商家 里面 的 货款 怎么 提现 啊
__label__8	开通 京东 直赔 需要 多久
__label__0	京东 延时 发货 规则 是 什么
__label__3	京东 品牌 聚效 的 扣费 方式 是 什么
__label__0	我 的 订单 发货 了 ， 买家 都 签收 了 ， 怎么 还 说 我 延迟 发化
__label__5	账户 余额 怎么 能 提现 出来
__label__5	返利 怎么 取消
__label__0	订单 超过 24 小时 发货 会 被 处罚 吗
__label__6	想 问 一下 ， 后台 上传 产品 清单 ， 下载 下来 之后   只能 填写 一个 表格 吗
__label__4	请问 618 活动 报名 流程 是 怎么 做 的 ？
__label__6	添加 新 品牌 时 显示 系统 异常
__label__5	  二级 商户 号   在 哪里 看 /
__label__5	钱包 怎么 查看 自己 店 的 交易
__label__5	后台 扣 商家 的 钱 为什么
__label__5	买家 确认 收货 后 货款 在 哪里 可 看到
__label__8	开通 7 天价 保
__label__5	你好   我们 有 笔款   账款 货款 中扣 了   京东 钱包 也 扣 了   这个 要 怎么 处理
__label__6	新增 品牌 的 品牌 审核 要 多长时间
__label__5	余额 的 钱 怎么 提现
__label__0	发货 时间 在 哪里 设置 呢
__label__5	结算 升级 后 回款 不 正确
__label__5	返利 框架 费是 什么 呢
__label__8	京东 缺货 赔付 规则
__label__5	冻结 金额 在 哪里 设置
__label__6	卖家 品牌 授权书 模板 有 吗
__label__4	活动 报名 为什么 会 显示 SKU 不 属于 该 商家 呢
__label__5	账单 没有 收入 怎么 还会 产生 支出 ？
__label__5	店铺 已 完成 订单 在 哪 结算
__label__5	哪个 位置 能 查询 到 青龙 运费
__label__5	这个 有 一个 账单 多 扣款 怎么办
__label__5	店铺 账单 明细 在 哪里 看
